County_Name,State_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%)
Abbeville County,South Carolina,163,24950,0.90797546,0.09202454,0,26.8,0,0.812866638
Acadia Parish,Louisiana,302,62370,0.913907285,0.086092715,0,44,23.7,0.743835895
Accomack County,Virginia,31,33060,0.870967742,0.129032258,0,35.6,0,0.884284057
Ada County,Idaho,290,425800,0.993103448,0.006896552,1,48.6,0,0.968883613
Adair County,Oklahoma,140,22160,0.842857143,0.157142857,0,42.9,0,0.629165553
Adair County,Iowa,317,7330,0.80126183,0.19873817,0,7.7,0,0.906330826
Adair County,Missouri,299,25545,0.909698997,0.090301003,1,10.3,10.3,0.753229107
Adair County,Kentucky,138,19155,0.992753623,0.007246377,0,,,0.920222177
Adams County,Ohio,187,28110,0.882352941,0.117647059,0,17.6,0,0.834323878
Adams County,Indiana,192,34815,0.989583333,0.010416667,0,6.5,0,0.92512153
Adams County,Colorado,521,479975,0.961612284,0.038387716,0,94,25.2,0.78095535
Adams County,Pennsylvania,242,101760,0.880165289,0.119834711,0,52,0,0.714875343
Adams County,Idaho,87,3865,0.908045977,0.091954023,0,,,0.968883613
Adams County,Illinois,314,66950,0.955414013,0.044585987,1,40.2,29.5,0.807663106
Adams County,Mississippi,101,31745,0.861386139,0.138613861,0,20.3,0,0.731516457
Adams County,Nebraska,214,31535,0.925233645,0.074766355,0,91.9,24.3,0.899117407
Adams County,Iowa,186,3820,0.704301075,0.295698925,0,25.8,25.8,0.906330826
Adams County,Washington,192,19100,0.911458333,0.088541667,0,126.9,57.4,0.710608062
Adams County,North Dakota,46,2350,0.826086957,0.173913043,0,46.9,0,0.933551831
Adams County,Wisconsin,41,20295,0.975609756,0.024390244,0,23.8,0,0.833592818
Addison County,Vermont,137,36925,0.95620438,0.04379562,0,32.6,32.6,0.821290173
Aiken County,South Carolina,201,165145,0.870646766,0.129353234,0,69.9,0,0.812866638
Aitkin County,Minnesota,99,15720,0.95959596,0.04040404,0,39.4,0,0.850650597
Alachua County,Florida,112,256580,0.991071429,0.008928571,1,84.5,0,0.882151679
Alamance County,North Carolina,233,156370,0.922746781,0.077253219,0,16.9,16.9,0.890560355
Alameda County,California,650,1605215,0.933846154,0.066153846,1,200.3,155.8,0.58749769
Alamosa County,Colorado,16,16355,1,0,1,31.7,0,0.78095535
Albany County,Wyoming,125,37835,0.92,0.08,1,106.2,0,0.803817764
Albany County,New York,345,307890,0.942028986,0.057971014,1,86.6,11.8,0.746636286
Albemarle County,Virginia,261,104285,0.9348659,0.0651341,1,77.3,65.5,0.884284057
Alcona County,Michigan,27,10460,0.888888889,0.111111111,0,25.2,0,0.771767308
Alcorn County,Mississippi,220,37310,0.936363636,0.063636364,0,59.6,0,0.731516457
Aleutians East Borough,Alaska,2,3300,1,0,2,,,0.769478458
Aleutians West Census Area,Alaska,,5715,,,3,,,0.769478458
Alexander County,Illinois,93,7050,0.913978495,0.086021505,0,23.2,5.2,0.807663106
Alexander County,North Carolina,104,37210,0.875,0.125,0,9.2,0,0.890560355
Alexandria city,Virginia,58,151475,0.948275862,0.051724138,0,10.6,9.9,0.884284057
Alfalfa County,Oklahoma,392,5785,0.882653061,0.117346939,0,31.5,0,0.629165553
Alger County,Michigan,53,9395,0.830188679,0.169811321,0,23.6,0,0.771767308
Allamakee County,Iowa,196,14000,0.87244898,0.12755102,0,40.2,0,0.906330826
Allegan County,Michigan,240,113665,0.895833333,0.104166667,0,62.6,25.9,0.771767308
Allegany County,Maryland,244,73060,0.930327869,0.069672131,0,63.5,29.4,0.880315818
Allegany County,New York,401,47700,0.912718204,0.087281796,0,58.5,0,0.746636286
Alleghany County,Virginia,191,15920,0.937172775,0.062827225,0,36.3,33.6,0.884284057
Alleghany County,North Carolina,115,10870,0.756521739,0.243478261,0,,,0.890560355
Allegheny County,Pennsylvania,1288,1230360,0.86257764,0.13742236,1,376.1,83.1,0.714875343
Allen County,Ohio,378,104665,0.965608466,0.034391534,0,99.3,0,0.834323878
Allen County,Indiana,601,365565,0.930116473,0.069883527,1,133,0,0.92512153
Allen County,Kansas,228,12950,0.872807018,0.127192982,0,27.1,0,0.883778315
Allen County,Kentucky,87,20420,0.942528736,0.057471264,,,,0.920222177
Allen Parish,Louisiana,183,25620,0.863387978,0.136612022,0,57.5,0,0.743835895
Allendale County,South Carolina,69,9590,0.898550725,0.101449275,0,44.7,14.9,0.812866638
Alpena County,Michigan,32,28930,0.9375,0.0625,1,19,0,0.771767308
Alpine County,California,32,1185,0.9375,0.0625,0,,,0.58749769
Amador County,California,60,36965,0.933333333,0.066666667,0,4.3,0,0.58749769
Amelia County,Virginia,53,12795,0.886792453,0.113207547,0,19.1,0,0.884284057
Amherst County,Virginia,170,32000,0.964705882,0.035294118,0,40.1,19.3,0.884284057
Amite County,Mississippi,230,12690,0.804347826,0.195652174,0,,,0.731516457
Anchorage Municipality,Alaska,129,299320,0.937984496,0.062015504,1,108.6,100.7,0.769478458
Anderson County,Kansas,143,7860,0.965034965,0.034965035,0,39.3,0,0.883778315
Anderson County,Tennessee,174,75545,0.965517241,0.034482759,0,78.8,0,0.945988112
