County_State	County_Name	Non-Commercial -Civil Public Use Airports and Seaplane base	Non-Commercial -Other Aerodromes	Number of Bridges	Number of business establishments	Number of resident workers who commute to work in other countie	Number of resident workers who commute within county	Number of resident workers who work at home	Number of resident workers	Number of residents	Number of workers from other counties who commute to work in th	Pct of Medium to Fair Condition Bridges	Pct of Poor Condition Bridges	Percent of resident workers who commute by transit	Primary and Commercial Airports	Route miles of freight railroad	Route miles of passenger railroad and rail transit	State_Name	Total Docks	Total Marinas
Autauga County, Alabama	Autauga County	1	0	114	869	15417	8710	510	24300	55050	15576	0.964912281	0.035087719	0.000781893	0	50.7	0	Alabama		
Baldwin County, Alabama	Baldwin County	4	28	360	5384	17748	62235	4380	86310	199510	24011	0.980555556	0.019444444	0.002143436	0	30.4	0	Alabama	1	0
Barbour County, Alabama	Barbour County	2	2	193	455	1871	6395	110	8785	26615	2368	0.968911917	0.031088083	0.003984064	0	14.7	0	Alabama	0	0
Bibb County, Alabama	Bibb County	1	0	126	284	4816	3410	100	8280	22570	4868	1	0	0.004710145	0	25.1	5.5	Alabama		
Blount County, Alabama	Blount County	1	1	183	698	13981	7205	480	21350	57705	14171	0.912568306	0.087431694	0.001639344	0	13.1	0	Alabama		
Bullock County, Alabama	Bullock County	1	1	138	107	1664	2465	110	4165	10550	1699	0.985507246	0.014492754	0.003601441	0			Alabama		
Butler County, Alabama	Butler County	1	3	188	422	1744	5755	165	7690	20280	1925	0.946808511	0.053191489	0	0	45.3	0	Alabama		
Calhoun County, Alabama	Calhoun County	1	5	374	2319	8879	35630	1200	45795	115885	10171	0.962566845	0.037433155	0.002292827	0	65.9	29.3	Alabama		
Chambers County, Alabama	Chambers County	1	1	184	554	3955	5705	300	13845	34020	8153	0.929347826	0.070652174	0.002527988	0	28.9	0	Alabama		
Cherokee County, Alabama	Cherokee County	1	3	169	361	2385	4880	190	9950	25895	5034	0.982248521	0.017751479	0.005527638	0			Alabama		
Chilton County, Alabama	Chilton County	1	4	189	756	8588	8335	315	17305	43815	8965	0.984126984	0.015873016	0.000866802	0	59.4	0	Alabama		
Choctaw County, Alabama	Choctaw County	1	1	153	257	632	2375	55	4145	13285	1774	0.934640523	0.065359477	0	0	26.7	0	Alabama		
Clarke County, Alabama	Clarke County	2	1	155	600	1898	5800	80	8010	24845	2219	0.993548387	0.006451613	0.001747815	0	42.9	0	Alabama		
Clay County, Alabama	Clay County	1	1	130	185	1835	3390	80	5380	13485	1989	0.915384615	0.084615385	0.000743494	0	28.8	0	Alabama		
Cleburne County, Alabama	Cleburne County			165	170	1530	1705	130	5575	14990	3866	0.890909091	0.109090909	0.000717489		19.7	19.7	Alabama		
Coffee County, Alabama	Coffee County	2	9	214	985	8341	13195	615	21990	50990	8745	0.985981308	0.014018692	0.000181901	0	4.6	0	Alabama		
Colbert County, Alabama	Colbert County	0	3	175	1217	6889	14095	345	21630	54375	7543	0.988571429	0.011428571	0.001155802	1	70.3	0	Alabama	5	0
Conecuh County, Alabama	Conecuh County	1	1	226	196	1439	2215	60	3755	12695	1544	0.915929204	0.084070796	0	0	39.1	0	Alabama		
