State_Name,County_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%),Area (mi^2)
South Carolina,Abbeville,163,24950,0.90797546,0.09202454,0,26.8,0,0.812866638,511.05
Louisiana,Acadia,302,62370,0.913907285,0.086092715,0,44,23.7,0.743835895,657.62
Virginia,Accomack,31,33060,0.870967742,0.129032258,0,35.6,0,0.884284057,1310.05
Idaho,Ada,290,425800,0.993103448,0.006896552,1,48.6,0,0.968883613,1060.33
Iowa,Adair,317,7330,0.80126183,0.19873817,0,7.7,0,0.906330826,570.31
Kentucky,Adair,138,19155,0.992753623,0.007246377,0,,,0.920222177,412.23
Missouri,Adair,299,25545,0.909698997,0.090301003,1,10.3,10.3,0.753229107,569.32
Oklahoma,Adair,140,22160,0.842857143,0.157142857,0,42.9,0,0.629165553,577.03
Colorado,Adams,521,479975,0.961612284,0.038387716,0,94,25.2,0.78095535,1197.71
Idaho,Adams,87,3865,0.908045977,0.091954023,0,,,0.968883613,1370
Illinois,Adams,314,66950,0.955414013,0.044585987,1,40.2,29.5,0.807663106,871.28
Indiana,Adams,192,34815,0.989583333,0.010416667,0,6.5,0,0.92512153,339.93
Iowa,Adams,186,3820,0.704301075,0.295698925,0,25.8,25.8,0.906330826,425.41
Mississippi,Adams,101,31745,0.861386139,0.138613861,0,20.3,0,0.731516457,486.25
Nebraska,Adams,214,31535,0.925233645,0.074766355,0,91.9,24.3,0.899117407,564.16
North Dakota,Adams,46,2350,0.826086957,0.173913043,0,46.9,0,0.933551831,988.84
Ohio,Adams,187,28110,0.882352941,0.117647059,0,17.6,0,0.834323878,585.79
Pennsylvania,Adams,242,101760,0.880165289,0.119834711,0,52,0,0.714875343,521.52
Washington,Adams,192,19100,0.911458333,0.088541667,0,126.9,57.4,0.710608062,1929.69
Wisconsin,Adams,41,20295,0.975609756,0.024390244,0,23.8,0,0.833592818,688.51
Vermont,Addison,137,36925,0.95620438,0.04379562,0,32.6,32.6,0.821290173,808.3
South Carolina,Aiken,201,165145,0.870646766,0.129353234,0,69.9,0,0.812866638,1080.46
Minnesota,Aitkin,99,15720,0.95959596,0.04040404,0,39.4,0,0.850650597,1995.31
Florida,Alachua,112,256580,0.991071429,0.008928571,1,84.5,0,0.882151679,969.12
North Carolina,Alamance,233,156370,0.922746781,0.077253219,0,16.9,16.9,0.890560355,434.77
California,Alameda,650,1605215,0.933846154,0.066153846,1,200.3,155.8,0.58749769,821.15
Colorado,Alamosa,16,16355,1,0,1,31.7,0,0.78095535,723.53
New York,Albany,345,307890,0.942028986,0.057971014,1,86.6,11.8,0.746636286,533.21
Wyoming,Albany,125,37835,0.92,0.08,1,106.2,0,0.803817764,4308.79
Virginia,Albemarle,261,104285,0.9348659,0.0651341,1,77.3,65.5,0.884284057,726.18
Michigan,Alcona,27,10460,0.888888889,0.111111111,0,25.2,0,0.771767308,1790.54
Mississippi,Alcorn,220,37310,0.936363636,0.063636364,0,59.6,0,0.731516457,401.35
Alaska,Aleutians East,2,3300,1,0,2,,,0.769478458,15011.6
Alaska,Aleutians West,,5715,,,3,,,0.769478458,14116.51
Illinois,Alexander,93,7050,0.913978495,0.086021505,0,23.2,5.2,0.807663106,252.54
North Carolina,Alexander,104,37210,0.875,0.125,0,9.2,0,0.890560355,263.14
Virginia,Alexandria,58,151475,0.948275862,0.051724138,0,10.6,9.9,0.884284057,15.41
Oklahoma,Alfalfa,392,5785,0.882653061,0.117346939,0,31.5,0,0.629165553,881.44
Michigan,Alger,53,9395,0.830188679,0.169811321,0,23.6,0,0.771767308,5049.08
Iowa,Allamakee,196,14000,0.87244898,0.12755102,0,40.2,0,0.906330826,658.71
Michigan,Allegan,240,113665,0.895833333,0.104166667,0,62.6,25.9,0.771767308,1833.3
Maryland,Allegany,244,73060,0.930327869,0.069672131,0,63.5,29.4,0.880315818,429.82
New York,Allegany,401,47700,0.912718204,0.087281796,0,58.5,0,0.746636286,1034.42
North Carolina,Alleghany,115,10870,0.756521739,0.243478261,0,,,0.890560355,235.52
Virginia,Alleghany,191,15920,0.937172775,0.062827225,0,36.3,33.6,0.884284057,445.67
Pennsylvania,Allegheny,1288,1230360,0.86257764,0.13742236,1,376.1,83.1,0.714875343,744.71
Indiana,Allen,601,365565,0.930116473,0.069883527,1,133,0,0.92512153,660.1
Kansas,Allen,228,12950,0.872807018,0.127192982,0,27.1,0,0.883778315,505.18
Kentucky,Allen,87,20420,0.942528736,0.057471264,,,,0.920222177,352.04
Ohio,Allen,378,104665,0.965608466,0.034391534,0,99.3,0,0.834323878,765.67
Louisiana,Allen,183,25620,0.863387978,0.136612022,0,57.5,0,0.743835895,406.88
South Carolina,Allendale,69,9590,0.898550725,0.101449275,0,44.7,14.9,0.812866638,412.58
Michigan,Alpena,32,28930,0.9375,0.0625,1,19,0,0.771767308,1695
California,Alpine,32,1185,0.9375,0.0625,0,,,0.58749769,743.19
California,Amador,60,36965,0.933333333,0.066666667,0,4.3,0,0.58749769,604.69
Virginia,Amelia,53,12795,0.886792453,0.113207547,0,19.1,0,0.884284057,358.54
Virginia,Amherst,170,32000,0.964705882,0.035294118,0,40.1,19.3,0.884284057,478.78
Mississippi,Amite,230,12690,0.804347826,0.195652174,0,,,0.731516457,731.64
Alaska,Anchorage,129,299320,0.937984496,0.062015504,1,108.6,100.7,0.769478458,1961.09
Kansas,Anderson,143,7860,0.965034965,0.034965035,0,39.3,0,0.883778315,584.29
Kentucky,Anderson,81,21865,0.950617284,0.049382716,0,17.6,0,0.920222177,204.28
South Carolina,Anderson,459,192710,0.967320261,0.032679739,0,55.6,0,0.812866638,757.45
Tennessee,Anderson,174,75545,0.965517241,0.034482759,0,78.8,0,0.945988112,344.82
Texas,Anderson,168,57770,0.994047619,0.005952381,0,65.1,14.5,0.891372329,1077.95
Missouri,Andrew,168,17345,0.827380952,0.172619048,0,10.4,0,0.753229107,436.5
Texas,Andrews,1,17215,1,0,0,3.8,0,0.891372329,1500.99
Maine,Androscoggin,132,107375,0.924242424,0.075757576,0,58.1,0,0.776837947,497.23
Texas,Angelina,175,87655,0.982857143,0.017142857,0,47.9,0,0.891372329,864.45
Maryland,Anne Arundel,376,559735,0.992021277,0.007978723,1,25.3,21.5,0.880315818,587.9
Minnesota,Anoka,143,341250,0.958041958,0.041958042,0,41.5,21.3,0.850650597,446.26
North Carolina,Anson,156,25885,0.929487179,0.070512821,0,43.7,0,0.890560355,537.13
Nebraska,Antelope,162,6420,0.907407407,0.092592593,0,24,0,0.899117407,858.43
Michigan,Antrim,15,23215,1,0,0,21,0,0.771767308,601.9
Arizona,Apache,256,72345,0.96875,0.03125,0,124,53.7,0.813937707,11218.42
Iowa,Appanoose,193,12600,0.715025907,0.284974093,0,45.2,0,0.906330826,516.35
Georgia,Appling,76,18410,1,0,0,37.3,0,0.967672415,512.11
Virginia,Appomattox,74,15315,0.986486486,0.013513514,0,20.4,0,0.884284057,334.73
Texas,Aransas,20,24730,1,0,0,3,0,0.891372329,527.95
Colorado,Arapahoe,380,617670,0.963157895,0.036842105,0,39.8,4,0.78095535,805.43
Texas,Archer,125,8750,0.976,0.024,0,,,0.891372329,925.78
Colorado,Archuleta,43,12355,0.930232558,0.069767442,0,1.7,1.7,0.78095535,1355.48
